MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.011791 after 100 iterations
res_norm = 0.006631 after 200 iterations
res_norm = 0.004476 after 300 iterations
res_norm = 0.003284 after 400 iterations
res_norm = 0.002530 after 500 iterations
res_norm = 0.002013 after 600 iterations
res_norm = 0.001639 after 700 iterations
res_norm = 0.001358 after 800 iterations
res_norm = 0.001141 after 900 iterations
res_norm = 0.000970 after 1000 iterations
res_norm = 0.000833 after 1100 iterations
res_norm = 0.000721 after 1200 iterations
res_norm = 0.000630 after 1300 iterations
res_norm = 0.000554 after 1400 iterations
res_norm = 0.000487 after 1500 iterations
res_norm = 0.000433 after 1600 iterations
res_norm = 0.000387 after 1700 iterations
res_norm = 0.000347 after 1800 iterations
res_norm = 0.000313 after 1900 iterations
res_norm = 0.000283 after 2000 iterations
res_norm = 0.000257 after 2100 iterations
res_norm = 0.000235 after 2200 iterations
res_norm = 0.000215 after 2300 iterations
res_norm = 0.000197 after 2400 iterations
res_norm = 0.000181 after 2500 iterations
res_norm = 0.000167 after 2600 iterations
res_norm = 0.000155 after 2700 iterations
res_norm = 0.000143 after 2800 iterations
res_norm = 0.000133 after 2900 iterations
res_norm = 0.000124 after 3000 iterations
res_norm = 0.000116 after 3100 iterations
res_norm = 0.000108 after 3200 iterations
res_norm = 0.000101 after 3300 iterations
res_norm = 0.000095 after 3400 iterations
res_norm = 0.000089 after 3500 iterations
res_norm = 0.000084 after 3600 iterations
res_norm = 0.000079 after 3700 iterations
res_norm = 0.000074 after 3800 iterations
res_norm = 0.000070 after 3900 iterations
res_norm = 0.000066 after 4000 iterations
res_norm = 0.000062 after 4100 iterations
Problem solved in 4182 iterations
res_norm = 0.011935 after 100 iterations
res_norm = 0.006694 after 200 iterations
res_norm = 0.004517 after 300 iterations
res_norm = 0.003317 after 400 iterations
res_norm = 0.002557 after 500 iterations
res_norm = 0.002036 after 600 iterations
res_norm = 0.001659 after 700 iterations
res_norm = 0.001376 after 800 iterations
res_norm = 0.001157 after 900 iterations
res_norm = 0.000985 after 1000 iterations
res_norm = 0.000847 after 1100 iterations
res_norm = 0.000735 after 1200 iterations
res_norm = 0.000642 after 1300 iterations
res_norm = 0.000565 after 1400 iterations
res_norm = 0.000501 after 1500 iterations
res_norm = 0.000446 after 1600 iterations
res_norm = 0.000400 after 1700 iterations
res_norm = 0.000360 after 1800 iterations
res_norm = 0.000325 after 1900 iterations
res_norm = 0.000295 after 2000 iterations
res_norm = 0.000269 after 2100 iterations
res_norm = 0.000245 after 2200 iterations
res_norm = 0.000225 after 2300 iterations
res_norm = 0.000207 after 2400 iterations
res_norm = 0.000189 after 2500 iterations
res_norm = 0.000175 after 2600 iterations
res_norm = 0.000161 after 2700 iterations
res_norm = 0.000149 after 2800 iterations
res_norm = 0.000139 after 2900 iterations
res_norm = 0.000129 after 3000 iterations
res_norm = 0.000120 after 3100 iterations
res_norm = 0.000112 after 3200 iterations
res_norm = 0.000104 after 3300 iterations
res_norm = 0.000097 after 3400 iterations
res_norm = 0.000091 after 3500 iterations
res_norm = 0.000085 after 3600 iterations
res_norm = 0.000080 after 3700 iterations
res_norm = 0.000075 after 3800 iterations
res_norm = 0.000070 after 3900 iterations
res_norm = 0.000066 after 4000 iterations
res_norm = 0.000062 after 4100 iterations
Problem solved in 4148 iterations
res_norm = 0.011741 after 100 iterations
res_norm = 0.006670 after 200 iterations
res_norm = 0.004538 after 300 iterations
res_norm = 0.003352 after 400 iterations
res_norm = 0.002597 after 500 iterations
res_norm = 0.002077 after 600 iterations
res_norm = 0.001698 after 700 iterations
res_norm = 0.001414 after 800 iterations
res_norm = 0.001193 after 900 iterations
res_norm = 0.001018 after 1000 iterations
res_norm = 0.000878 after 1100 iterations
res_norm = 0.000763 after 1200 iterations
res_norm = 0.000668 after 1300 iterations
res_norm = 0.000589 after 1400 iterations
res_norm = 0.000523 after 1500 iterations
res_norm = 0.000466 after 1600 iterations
res_norm = 0.000418 after 1700 iterations
res_norm = 0.000376 after 1800 iterations
res_norm = 0.000340 after 1900 iterations
res_norm = 0.000309 after 2000 iterations
res_norm = 0.000282 after 2100 iterations
res_norm = 0.000257 after 2200 iterations
res_norm = 0.000236 after 2300 iterations
res_norm = 0.000217 after 2400 iterations
res_norm = 0.000200 after 2500 iterations
res_norm = 0.000184 after 2600 iterations
res_norm = 0.000170 after 2700 iterations
res_norm = 0.000158 after 2800 iterations
res_norm = 0.000147 after 2900 iterations
res_norm = 0.000136 after 3000 iterations
res_norm = 0.000127 after 3100 iterations
res_norm = 0.000118 after 3200 iterations
res_norm = 0.000110 after 3300 iterations
res_norm = 0.000103 after 3400 iterations
res_norm = 0.000097 after 3500 iterations
res_norm = 0.000091 after 3600 iterations
res_norm = 0.000085 after 3700 iterations
res_norm = 0.000080 after 3800 iterations
res_norm = 0.000075 after 3900 iterations
res_norm = 0.000070 after 4000 iterations
res_norm = 0.000066 after 4100 iterations
res_norm = 0.000062 after 4200 iterations
Problem solved in 4263 iterations
res_norm = 0.011683 after 100 iterations
res_norm = 0.006583 after 200 iterations
res_norm = 0.004457 after 300 iterations
res_norm = 0.003287 after 400 iterations
res_norm = 0.002548 after 500 iterations
res_norm = 0.002040 after 600 iterations
res_norm = 0.001671 after 700 iterations
res_norm = 0.001393 after 800 iterations
res_norm = 0.001178 after 900 iterations
res_norm = 0.001007 after 1000 iterations
res_norm = 0.000869 after 1100 iterations
res_norm = 0.000756 after 1200 iterations
res_norm = 0.000663 after 1300 iterations
res_norm = 0.000585 after 1400 iterations
res_norm = 0.000519 after 1500 iterations
res_norm = 0.000464 after 1600 iterations
res_norm = 0.000415 after 1700 iterations
res_norm = 0.000374 after 1800 iterations
res_norm = 0.000338 after 1900 iterations
res_norm = 0.000307 after 2000 iterations
res_norm = 0.000280 after 2100 iterations
res_norm = 0.000255 after 2200 iterations
res_norm = 0.000234 after 2300 iterations
res_norm = 0.000215 after 2400 iterations
res_norm = 0.000198 after 2500 iterations
res_norm = 0.000183 after 2600 iterations
res_norm = 0.000169 after 2700 iterations
res_norm = 0.000157 after 2800 iterations
res_norm = 0.000145 after 2900 iterations
res_norm = 0.000135 after 3000 iterations
res_norm = 0.000126 after 3100 iterations
res_norm = 0.000117 after 3200 iterations
res_norm = 0.000110 after 3300 iterations
res_norm = 0.000102 after 3400 iterations
res_norm = 0.000096 after 3500 iterations
res_norm = 0.000089 after 3600 iterations
res_norm = 0.000084 after 3700 iterations
res_norm = 0.000078 after 3800 iterations
res_norm = 0.000074 after 3900 iterations
res_norm = 0.000069 after 4000 iterations
res_norm = 0.000065 after 4100 iterations
res_norm = 0.000061 after 4200 iterations
Problem solved in 4239 iterations
res_norm = 0.011888 after 100 iterations
res_norm = 0.006683 after 200 iterations
res_norm = 0.004509 after 300 iterations
res_norm = 0.003311 after 400 iterations
res_norm = 0.002555 after 500 iterations
res_norm = 0.002036 after 600 iterations
res_norm = 0.001661 after 700 iterations
