MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.014228 after 100 iterations
res_norm = 0.004255 after 200 iterations
res_norm = 0.002043 after 300 iterations
res_norm = 0.001254 after 400 iterations
res_norm = 0.000844 after 500 iterations
res_norm = 0.000601 after 600 iterations
res_norm = 0.000446 after 700 iterations
res_norm = 0.000341 after 800 iterations
res_norm = 0.000268 after 900 iterations
res_norm = 0.000215 after 1000 iterations
res_norm = 0.000175 after 1100 iterations
res_norm = 0.000145 after 1200 iterations
res_norm = 0.000121 after 1300 iterations
res_norm = 0.000102 after 1400 iterations
res_norm = 0.000087 after 1500 iterations
res_norm = 0.000074 after 1600 iterations
res_norm = 0.000064 after 1700 iterations
res_norm = 0.000056 after 1800 iterations
res_norm = 0.000049 after 1900 iterations
res_norm = 0.000043 after 2000 iterations
Problem solved in 2086 iterations
res_norm = 0.013902 after 100 iterations
res_norm = 0.004228 after 200 iterations
res_norm = 0.002037 after 300 iterations
res_norm = 0.001273 after 400 iterations
res_norm = 0.000867 after 500 iterations
res_norm = 0.000623 after 600 iterations
res_norm = 0.000465 after 700 iterations
res_norm = 0.000358 after 800 iterations
res_norm = 0.000279 after 900 iterations
res_norm = 0.000223 after 1000 iterations
res_norm = 0.000180 after 1100 iterations
res_norm = 0.000147 after 1200 iterations
res_norm = 0.000122 after 1300 iterations
res_norm = 0.000101 after 1400 iterations
res_norm = 0.000084 after 1500 iterations
res_norm = 0.000070 after 1600 iterations
res_norm = 0.000059 after 1700 iterations
res_norm = 0.000050 after 1800 iterations
res_norm = 0.000042 after 1900 iterations
Problem solved in 1952 iterations
res_norm = 0.012944 after 100 iterations
res_norm = 0.004152 after 200 iterations
res_norm = 0.002077 after 300 iterations
res_norm = 0.001321 after 400 iterations
res_norm = 0.000905 after 500 iterations
res_norm = 0.000652 after 600 iterations
res_norm = 0.000487 after 700 iterations
res_norm = 0.000375 after 800 iterations
res_norm = 0.000295 after 900 iterations
res_norm = 0.000236 after 1000 iterations
res_norm = 0.000191 after 1100 iterations
res_norm = 0.000157 after 1200 iterations
res_norm = 0.000130 after 1300 iterations
res_norm = 0.000108 after 1400 iterations
res_norm = 0.000091 after 1500 iterations
res_norm = 0.000077 after 1600 iterations
res_norm = 0.000065 after 1700 iterations
res_norm = 0.000056 after 1800 iterations
res_norm = 0.000048 after 1900 iterations
res_norm = 0.000041 after 2000 iterations
Problem solved in 2039 iterations
res_norm = 0.014764 after 100 iterations
res_norm = 0.004394 after 200 iterations
res_norm = 0.002117 after 300 iterations
res_norm = 0.001315 after 400 iterations
res_norm = 0.000899 after 500 iterations
res_norm = 0.000647 after 600 iterations
res_norm = 0.000484 after 700 iterations
res_norm = 0.000372 after 800 iterations
res_norm = 0.000293 after 900 iterations
res_norm = 0.000234 after 1000 iterations
res_norm = 0.000190 after 1100 iterations
res_norm = 0.000155 after 1200 iterations
res_norm = 0.000127 after 1300 iterations
res_norm = 0.000106 after 1400 iterations
res_norm = 0.000086 after 1500 iterations
res_norm = 0.000072 after 1600 iterations
res_norm = 0.000061 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
res_norm = 0.000043 after 1900 iterations
Problem solved in 1968 iterations
res_norm = 0.011949 after 100 iterations
res_norm = 0.003977 after 200 iterations
res_norm = 0.002049 after 300 iterations
res_norm = 0.001281 after 400 iterations
res_norm = 0.000871 after 500 iterations
res_norm = 0.000623 after 600 iterations
res_norm = 0.000463 after 700 iterations
res_norm = 0.000355 after 800 iterations
res_norm = 0.000277 after 900 iterations
res_norm = 0.000220 after 1000 iterations
res_norm = 0.000178 after 1100 iterations
res_norm = 0.000145 after 1200 iterations
res_norm = 0.000119 after 1300 iterations
res_norm = 0.000097 after 1400 iterations
res_norm = 0.000081 after 1500 iterations
res_norm = 0.000068 after 1600 iterations
res_norm = 0.000057 after 1700 iterations
res_norm = 0.000047 after 1800 iterations
res_norm = 0.000040 after 1900 iterations
Problem solved in 1922 iterations
res_norm = 0.013239 after 100 iterations
res_norm = 0.004186 after 200 iterations
res_norm = 0.002096 after 300 iterations
res_norm = 0.001309 after 400 iterations
res_norm = 0.000893 after 500 iterations
res_norm = 0.000642 after 600 iterations
res_norm = 0.000478 after 700 iterations
res_norm = 0.000367 after 800 iterations
res_norm = 0.000285 after 900 iterations
res_norm = 0.000227 after 1000 iterations
res_norm = 0.000182 after 1100 iterations
res_norm = 0.000148 after 1200 iterations
res_norm = 0.000122 after 1300 iterations
res_norm = 0.000099 after 1400 iterations
res_norm = 0.000082 after 1500 iterations
res_norm = 0.000068 after 1600 iterations
res_norm = 0.000057 after 1700 iterations
res_norm = 0.000048 after 1800 iterations
res_norm = 0.000040 after 1900 iterations
Problem solved in 1921 iterations
res_norm = 0.012930 after 100 iterations
res_norm = 0.004037 after 200 iterations
res_norm = 0.002006 after 300 iterations
res_norm = 0.001245 after 400 iterations
res_norm = 0.000847 after 500 iterations
res_norm = 0.000607 after 600 iterations
res_norm = 0.000453 after 700 iterations
res_norm = 0.000348 after 800 iterations
res_norm = 0.000273 after 900 iterations
res_norm = 0.000217 after 1000 iterations
res_norm = 0.000176 after 1100 iterations
res_norm = 0.000144 after 1200 iterations
res_norm = 0.000119 after 1300 iterations
res_norm = 0.000099 after 1400 iterations
res_norm = 0.000084 after 1500 iterations
res_norm = 0.000071 after 1600 iterations
res_norm = 0.000060 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
res_norm = 0.000044 after 1900 iterations
Problem solved in 1994 iterations
res_norm = 0.014586 after 100 iterations
res_norm = 0.004327 after 200 iterations
res_norm = 0.002075 after 300 iterations
res_norm = 0.001284 after 400 iterations
res_norm = 0.000878 after 500 iterations
res_norm = 0.000633 after 600 iterations
res_norm = 0.000472 after 700 iterations
res_norm = 0.000363 after 800 iterations
res_norm = 0.000285 after 900 iterations
res_norm = 0.000228 after 1000 iterations
res_norm = 0.000185 after 1100 iterations
res_norm = 0.000150 after 1200 iterations
res_norm = 0.000124 after 1300 iterations
res_norm = 0.000103 after 1400 iterations
res_norm = 0.000085 after 1500 iterations
res_norm = 0.000071 after 1600 iterations
res_norm = 0.000060 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
res_norm = 0.000043 after 1900 iterations
Problem solved in 1975 iterations
res_norm = 0.013894 after 100 iterations
res_norm = 0.004167 after 200 iterations
res_norm = 0.002024 after 300 iterations
res_norm = 0.001255 after 400 iterations
res_norm = 0.000857 after 500 iterations
res_norm = 0.000616 after 600 iterations
res_norm = 0.000461 after 700 iterations
res_norm = 0.000355 after 800 iterations
res_norm = 0.000277 after 900 iterations
res_norm = 0.000222 after 1000 iterations
res_norm = 0.000179 after 1100 iterations
res_norm = 0.000147 after 1200 iterations
res_norm = 0.000121 after 1300 iterations
res_norm = 0.000101 after 1400 iterations
res_norm = 0.000084 after 1500 iterations
res_norm = 0.000071 after 1600 iterations
res_norm = 0.000060 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
